Team ID,Team Name ,GitHub ID
HZ25AMC-IOT01,Craft.Co,Yashwanthgethub
HZ25AMC-IOT02,404 Brain not found,radz_15
HZ25AMC-IOT03,The Mavericks,KAUSHALK123
HZ25AMC-IOT04,Console.log,Premraviraj
HZ25AMC-IOT05,ElectroStorm,Amitkumarsingh01
HZ25AMC-IOT06,Farmion Force,heatly
HZ25AMC-IOT07,Heralds ,altafansari22
HZ25AMC-IOT08,SuperNova,santhoshkumar150822
HZ25AMC-IOT09,Hacktastic,AryanR1721
HZ25AMC-IOT10,Swastik,Sharath-mani
HZ25AMC-AIML01,Vortex,Elson18
HZ25AMC-AIML04,Matrix,Pavan-RESTs
HZ25AMC-AIML06,Tech Titans ,Amutha30
HZ25AMC-AIML07,Holobites,pranava-mk
HZ25AMC-AIML08,CodeShield,NamrathaNRpetemane
HZ25AMC-AIML09,Software Ninjas,pradheep-git30
HZ25AMC-AIML10,Cosmic Questers,Iqra2243
HZ25AMC-AIML12,CodeCure,avinashmaharoliya
HZ25AMC-W3BC01,Shenanigang,rahilmasood
HZ25AMC-W3BC02,Tech Natives,swet40
HZ25AMC-W3BC04,NAP_Hacks,priyadharshiniep05
HZ25AMC-CS01,HackElite,Vishasel
HZ25AMC-CS03,Vigilant,RISHIKUMARTHAKUR
HZ25AMC-CS04,SecureSoldiers,Goldi-thakur
HZ25AMC-CS06,Pheonix,abhijithr12
HZ25AMC-CS07,Theory Titans,heloosy